date,hour,average_speed_kph
2024-08-23,21:00,11.55
2024-08-23,22:00,19.05
2024-08-23,23:00,23.5
2024-08-24,00:00,18.43
2024-08-24,01:00,19.73
2024-08-24,02:00,33.85
2024-08-24,03:00,33.6
2024-08-24,04:00,27.15
2024-08-24,05:00,34.9
2024-08-24,06:00,25.1
2024-08-24,07:00,32.9
2024-08-24,08:00,31.05
2024-08-24,09:00,24.1
2024-08-24,10:00,21.9
2024-08-24,11:00,23.1
2024-08-24,12:00,9.28
2024-08-24,13:00,12.33
2024-08-24,14:00,10.6
2024-08-24,15:00,15.54
2024-08-24,16:00,17.1
2024-08-24,17:00,12.3
2024-08-24,18:00,14.15
2024-08-24,19:00,13.02
2024-08-24,20:00,10.32
2024-08-24,21:00,10.8
2024-08-24,22:00,14.98
2024-08-24,23:00,20.68
2024-08-25,00:00,25.7
2024-08-25,01:00,32.7
2024-08-25,02:00,29.55
2024-08-25,03:00,31.15
2024-08-25,04:00,37.05
2024-08-25,05:00,35.8
2024-08-25,06:00,45.5
2024-08-25,07:00,31.25
2024-08-25,08:00,26.17
2024-08-25,09:00,23.98
2024-08-25,10:00,14.0
2024-08-25,11:00,24.83
2024-08-25,12:00,22.88
2024-08-25,13:00,10.5
2024-08-25,14:00,16.37
2024-08-25,15:00,17.5
2024-08-25,16:00,22.28
2024-08-25,17:00,20.7
2024-08-25,18:00,9.28
2024-08-25,19:00,17.0
2024-08-25,20:00,8.94
2024-08-25,21:00,7.84
2024-08-25,22:00,16.48
2024-08-25,23:00,20.95
2024-08-26,00:00,9.16
2024-08-26,01:00,17.5
2024-08-26,02:00,34.3
2024-08-26,03:00,45.05
2024-08-26,04:00,26.13
2024-08-26,05:00,34.9
2024-08-26,06:00,38.6
2024-08-26,07:00,26.3
2024-08-26,08:00,19.5
2024-08-26,09:00,22.75
2024-08-26,10:00,8.05
2024-08-26,11:00,16.85
2024-08-26,12:00,11.27
2024-08-26,13:00,8.43
2024-08-26,14:00,9.35
2024-08-26,15:00,11.12
2024-08-26,16:00,14.3
2024-08-26,17:00,9.3
2024-08-26,18:00,9.74
2024-08-26,19:00,15.4
2024-08-26,20:00,14.75
2024-08-26,21:00,18.9
2024-08-26,22:00,25.67
2024-08-26,23:00,16.73
2024-08-27,00:00,22.95
2024-08-27,01:00,26.05
2024-08-27,02:00,19.35
2024-08-27,03:00,36.65
2024-08-27,04:00,34.8
2024-08-27,05:00,32.5
2024-08-27,06:00,34.5
2024-08-27,07:00,32.05
2024-08-27,08:00,28.5
2024-08-27,09:00,25.85
2024-08-27,10:00,9.63
2024-08-27,11:00,13.7
2024-08-27,12:00,10.07
2024-08-27,13:00,8.78
2024-08-27,14:00,21.96
2024-08-27,15:00,21.3
2024-08-27,16:00,19.68
2024-08-27,17:00,12.97
2024-08-27,18:00,11.97
2024-08-27,19:00,17.23
2024-08-27,20:00,13.84
2024-08-27,21:00,18.75
2024-08-27,22:00,15.2
2024-08-27,23:00,15.7
2024-08-28,00:00,19.16
2024-08-28,01:00,29.65
2024-08-28,02:00,43.87
2024-08-28,03:00,30.9
2024-08-28,04:00,35.1
2024-08-28,05:00,36.25
2024-08-28,06:00,30.0
2024-08-28,07:00,23.47
2024-08-28,08:00,26.6
2024-08-28,09:00,23.33
2024-08-28,10:00,14.47
2024-08-28,11:00,20.57
2024-08-28,12:00,8.8
2024-08-28,13:00,9.78
2024-08-28,14:00,11.98
2024-08-28,15:00,13.7
2024-08-28,16:00,15.15
2024-08-28,17:00,16.54
2024-08-28,18:00,17.0
2024-08-28,19:00,18.77
2024-08-28,20:00,12.24
2024-08-28,21:00,14.27
2024-08-28,22:00,18.75
2024-08-28,23:00,19.77
2024-08-29,00:00,24.6
2024-08-29,01:00,25.06
2024-08-29,02:00,27.25
2024-08-29,03:00,26.55
2024-08-29,04:00,39.05
2024-08-29,05:00,32.1
2024-08-29,06:00,34.35
2024-08-29,07:00,32.85
2024-08-29,08:00,13.6
2024-08-29,09:00,22.8
2024-08-29,10:00,17.9
2024-08-29,11:00,13.07
2024-08-29,12:00,10.07
2024-08-29,13:00,9.98
2024-08-29,14:00,11.66
2024-08-29,15:00,12.33
2024-08-29,16:00,16.73
2024-08-29,17:00,12.37
2024-08-29,18:00,11.74
2024-08-29,19:00,19.9
2024-08-29,20:00,12.65
2024-08-29,21:00,12.63
2024-08-29,22:00,14.92
2024-08-29,23:00,29.55
2024-08-30,00:00,24.95
2024-08-30,01:00,26.45
2024-08-30,02:00,15.07
2024-08-30,03:00,32.0
2024-08-30,04:00,
2024-08-30,05:00,34.75
2024-08-30,06:00,32.9
2024-08-30,07:00,23.5
2024-08-30,08:00,30.85
2024-08-30,09:00,19.07
2024-08-30,10:00,16.4
2024-08-30,11:00,10.3
2024-08-30,12:00,13.73
2024-08-30,13:00,15.35
2024-08-30,14:00,9.03
2024-08-30,15:00,25.97
2024-08-30,16:00,15.32
2024-08-30,17:00,11.64
2024-08-30,18:00,15.02
2024-08-30,19:00,11.24
2024-08-30,20:00,15.12
2024-08-30,21:00,24.07
2024-08-30,22:00,17.4
2024-08-30,23:00,17.43
2024-08-31,00:00,16.05
2024-08-31,01:00,38.5
2024-08-31,02:00,29.52
2024-08-31,03:00,19.37
2024-08-31,04:00,42.85
2024-08-31,05:00,42.7
2024-08-31,06:00,24.3
2024-08-31,07:00,33.2
2024-08-31,08:00,34.65
2024-08-31,09:00,26.6
2024-08-31,10:00,19.2
2024-08-31,11:00,27.52
2024-08-31,12:00,19.9
2024-08-31,13:00,10.5
2024-08-31,14:00,19.68
2024-08-31,15:00,21.95
2024-08-31,16:00,20.2
2024-08-31,17:00,14.18
2024-08-31,18:00,20.7
2024-08-31,19:00,14.6
2024-08-31,20:00,14.8
2024-08-31,21:00,20.2
2024-08-31,22:00,19.76
2024-08-31,23:00,19.2
