segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,23.5,34.0,33.7,293,1,24
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,29.0,33.0,34.3,173,1,25
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,22.0,27.0,29.4,146,1,2
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,26.4,32.0,32.0,88,1,3
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,22.4,33.0,35.2,54,1,4
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,31.3,39.0,39.2,23,1,5
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,34.0,34.0,41.3,16,1,6
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,32.0,38.0,36.4,20,1,7
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,23.7,26.0,31.4,33,1,8
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,18.6,23.0,26.4,77,1,9
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,19.7,24.0,23.6,94,1,10
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,13.3,19.0,20.8,175,1,11
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,76.32,60,33.79006,-7.1584075,12.2,17.0,19.6,248,1,12
